,time,word,freq,group
310,3,whitecels,0.858384874,lose
311,4,whitecels,1.148471461,lose
312,5,whitecels,1.162042764,lose
313,6,whitecels,0.831100901,lose
314,7,whitecels,0.0,lose
315,8,whitecels,0.0,lose
316,9,whitecels,0.0,lose
317,10,whitecels,0.0,lose
318,11,whitecels,0.0,lose
319,12,whitecels,0.0,lose
320,13,whitecels,0.0,lose
321,14,whitecels,0.0,lose
322,15,whitecels,0.0,lose
323,16,whitecels,0.0,lose
324,17,whitecels,0.0,lose
325,18,whitecels,0.0,lose
326,19,whitecels,0.0,lose
327,20,whitecels,0.0,lose
328,21,whitecels,0.0,lose
329,22,whitecels,0.0,lose
330,1,cunt,1.216788719,lose
331,2,cunt,1.093157927,lose
332,3,cunt,1.349488898,lose
333,4,cunt,1.416287625,lose
334,5,cunt,0.954659967,lose
335,6,cunt,1.126301913,lose
336,7,cunt,1.23280164,lose
337,8,cunt,1.225319741,lose
338,9,cunt,1.546682496,lose
339,10,cunt,1.291939013,lose
340,11,cunt,1.076730879,lose
341,12,cunt,1.135481734,lose
342,13,cunt,0.933705128,lose
343,14,cunt,0.764023384,lose
344,15,cunt,0.784688335,lose
345,16,cunt,0.80188842,lose
346,17,cunt,0.763816321,lose
347,18,cunt,0.691081769,lose
348,19,cunt,0.65746844,lose
349,20,cunt,0.665461096,lose
350,21,cunt,0.74279246,lose
351,22,cunt,0.529434095,lose
352,1,slut,1.784084302,lose
353,2,slut,1.530444251,lose
354,3,slut,1.787366378,lose
355,4,slut,1.288552192,lose
356,5,slut,1.294165462,lose
357,6,slut,1.084940793,lose
358,7,slut,1.35466915,lose
359,8,slut,0.870286896,lose
360,9,slut,0.925560734,lose
361,10,slut,1.010219888,lose
362,11,slut,0.959991858,lose
363,12,slut,0.728360119,lose
364,13,slut,0.774692602,lose
365,14,slut,0.556357872,lose
366,15,slut,0.624253899,lose
367,16,slut,0.978764105,lose
368,17,slut,0.708575643,lose
369,18,slut,0.674006489,lose
370,19,slut,0.761349583,lose
371,20,slut,0.804584031,lose
372,21,slut,0.776226282,lose
373,22,slut,0.722547471,lose
374,1,deathnik,0.0,lose
375,2,deathnik,0.711983245,lose
376,3,deathnik,0.854204608,lose
377,4,deathnik,2.046394099,lose
378,5,deathnik,0.641549809,lose
379,6,deathnik,0.0,lose
380,7,deathnik,1.45113595,lose
381,8,deathnik,0.830301858,lose
382,9,deathnik,0.0,lose
383,10,deathnik,0.0,lose
384,11,deathnik,0.0,lose
385,12,deathnik,0.0,lose
386,13,deathnik,0.0,lose
387,14,deathnik,0.464430432,lose
388,15,deathnik,0.0,lose
389,16,deathnik,0.0,lose
390,17,deathnik,0.0,lose
391,18,deathnik,0.0,lose
392,19,deathnik,0.0,lose
393,20,deathnik,0.0,lose
394,21,deathnik,0.0,lose
395,22,deathnik,0.0,lose
396,1,roastie,1.607469717,lose
397,2,roastie,1.41284313,lose
398,3,roastie,1.876947765,lose
399,4,roastie,1.597513159,lose
400,5,roastie,1.153414638,lose
401,6,roastie,1.023985196,lose
402,7,roastie,1.275386832,lose
403,8,roastie,1.111490147,lose
404,9,roastie,1.013528776,lose
405,10,roastie,1.313661166,lose
406,11,roastie,0.876392157,lose
407,12,roastie,0.855450255,lose
408,13,roastie,0.813880318,lose
409,14,roastie,0.645746429,lose
410,15,roastie,0.571545951,lose
411,16,roastie,0.65138441,lose
412,17,roastie,0.767532628,lose
413,18,roastie,0.787434119,lose
414,19,roastie,0.729147859,lose
415,20,roastie,0.813304895,lose
416,21,roastie,0.478112402,lose
417,22,roastie,0.623828052,lose
418,1,femoid,2.845777406,lose
419,2,femoid,2.492867538,lose
420,3,femoid,2.756009246,lose
421,4,femoid,3.106072087,lose
422,5,femoid,1.909634895,lose
423,6,femoid,1.34943453,lose
424,7,femoid,1.062683327,lose
425,8,femoid,0.704218284,lose
426,9,femoid,0.798443604,lose
427,10,femoid,0.637946779,lose
428,11,femoid,0.43118142,lose
429,12,femoid,0.364935955,lose
430,13,femoid,0.368924397,lose
431,14,femoid,0.379865488,lose
432,15,femoid,0.311180954,lose
433,16,femoid,0.225310097,lose
434,17,femoid,0.349711303,lose
435,18,femoid,0.496528509,lose
436,19,femoid,0.670188495,lose
437,20,femoid,0.285926607,lose
438,21,femoid,0.283539617,lose
439,22,femoid,0.169619465,lose
